Unique_ID,Year,Year_range,Short_title,Description,City/County,State,Country,Entity,Entity_type,Recipient,Recipient_type,Reparations_type,Amount,Amount_type,Harm_addressed,Status,Legal_basis,Tags,Source,Source_URL,Source2,Source2_URL,Related_entries,Notes,Suggested_citation,🔐 Softr Record ID
USA-2023-03,2023,2020–2025,Detroit launches reparations task force,"The city of Detroit, Michigan, has assembled a group of citizens to lead a task force to recommend how to address systemic discrimination against the Black community, such as housing and economic development. The initiative was passed by 80% of voters in Detroit to create the Committee of the Reparations Taskforce in November 2021.",Detroit,Michigan,United States,City of Detroit,"Government, municipal/county",African Americans,Community,Other,,,"Economic discrimination, Housing discrimination, Other",In Progress,City/county ordinance,African Americans; commission/study; economic development; housing program; institutional discrimination; legislation; local government,"Aguilar, L. (2023, February 24). Detroit reparations movement takes step forward. The Detroit News.",https://www.detroitnews.com/story/news/local/detroit-city/2023/02/24/detroit-reparations-initiative-takes-step-forward/69941415007/,,,USA-2025-09,,"""Detroit launches reparations task force (2023)"". Reparations History, https://reparationshistory.org.",9ofKLPFtUo34RwxVSrQmBc
USA-2025-09,2025,2020–2025,Detroit Reparations Task Force report,The Detroit Reparations Task force has released a report with recommendations for reparations.,Detroit,Michigan,United States,City of Detroit,"Government, municipal/county",African Americans,Community,Other,,,Other,In Progress,City/county ordinance,commission/study,Detroit Reparations Task Force. (2025). City of Detroit reparations recommendations report.,https://www.documentcloud.org/documents/26222410-detroit-reparations-task-force-report-of-recommendations-2025/,,,USA-2023-03,,"""Detroit Reparations Task Force report (2025)"". Reparations History, https://reparationshistory.org.",R9hi3JtKqPd738RW63ifk7
USA-2020-01,2020,2020–2025,Durham calls for federal reparations,"At the recommendation of the Racial Equity Task Force, Durham, N.C., city officials passed a resolution calling for the federal government to grant reparations to the descents of Black slaves.",Durham,North Carolina,United States,City of Durham,"Government, municipal/county",African Americans,Descendants,Other,,,Slavery,Proposed,City/county ordinance,African Americans; commission/study; federal government; legislation; resolution; slavery,"Branigin, A. (2020, October 6). Durham, Washington, D.C., become latest cities to call for reparations for black residents. The Root.",https://www.theroot.com/durham-washington-d-c-become-latest-cities-to-call-fo-1845292103,,,,,"""Durham calls for federal reparations (2020)"". Reparations History, https://reparationshistory.org.",8LhPQnoDb8SugrHkNLLPU4
USA-2019-07,2019,2010–2019,Evanston funds marijuana tax reparations,"The City Council of Evanston, Illinois, voted to allocate the first $10 million in tax revenue from the sale of recreational marijuana (which became legal in the state on January 1, 2020) to fund reparations initiatives that address the gaps in wealth and opportunity of black residents. ""This week's City Council vote appears to have made Evanston the first municipal government in the nation to create and fund its own reparations program."" Note : While Chicago created a program to compensate victims of police torture (see above), the reparations were not primarily race-based.",Evanston,Illinois,United States,City of Evanston,"Government, municipal/county",African Americans,Community,Other fund,"$10,000,000.00",,Economic discrimination,Ongoing,City/county ordinance,African Americans; commission/study; court case; human rights violation; local government; monetary compensation; police violence survivors,"Meadows, J. (2019, November 27). Future weed revenue will fund Evanston’s new reparations program. Patch.",https://patch.com/illinois/evanston/evanston-recreational-cannabis-tax-fund-referendum-program,"Associated Press. (2021, March 23). Evanston, Illinois, becomes first U.S. city to pay reparations to Black residents. NBC News.",https://www.nbcnews.com/news/us-news/evanston-illinois-becomes-first-u-s-city-pay-reparations-blacks-n1261791,USA-2022-02,,"""Evanston funds marijuana tax reparations (2019)"". Reparations History, https://reparationshistory.org.",HXFs6egohhLmivyrK48vGn
USA-2022-02,2022,2020–2025,Evanston pays housing reparations,"Evanston, Illinois began paying reparations to Black residents under their Restorative Housing Program (see entry above in 2019). The 16 residents were chosen at random and receive $25,000 each for housing assistance.",Evanston,Illinois,United States,City of Evanston,"Government, municipal/county",African Americans,Individuals,Direct payment,"$400,000.00","16 x $25,000",Housing discrimination,Ongoing,State legislation,African Americans; housing program; monetary compensation,"Mogos, A. (2022, January 22). Evanston selects first residents to receive housing benefits in reparations plan. WTTW News.",https://news.wttw.com/2022/01/22/evanston-selects-first-residents-receive-housing-benefits-reparations-plan,,,USA-2019-07,,"""Evanston pays housing reparations (2022)"". Reparations History, https://reparationshistory.org.",G4jkKvvEZVkLFXNDYaRmhc
USA-2022-07,2022,2020–2025,High Point studies racial injustice,"The city council of High Point, North Carolina, established the One High Point Commission by a 5-4 vote. The commission is charged with studying the history of racial injustice in the city and the city and recommending reparative actions.",High Point,North Carolina,United States,City of High Point,"Government, municipal/county",African Americans,Community,Other,,,Other,In Progress,City/county ordinance,African Americans; commission/study; institutional discrimination; legislation; local government,"Tumultuous year for reparations board. (2023, January 15). National African American Reparations Commission.",https://reparationscomm.org/reparations-news/tumultuous-year-for-reparations-board/,,,,,"""High Point studies racial injustice (2022)"". Reparations History, https://reparationshistory.org.",56VGYE1ok5Aezi9VmznakM
USA-2022-09,2022,2020–2025,Jersey City supports reparations study,"The Jersey City, New Jersey council passed a resolution supporting New Jersey state bill S386/A938 to establish a reparations task force in New Jersey.",Jersey City,New Jersey,United States,City of Jersey City,"Government, municipal/county",African Americans,Community,Other,,,Slavery,Completed,City/county ordinance,commission/study; legislation; resolution,"Nelson, L. (2022, May 11). Jersey City passes resolution endorsing NJ reparations task force legislation. New Jersey Institute for Social Justice.",https://www.njisj.org/jersey_city_passes_resolution_endorsing_nj_reparations_task_force_legislation,,,USA-2025-08,,"""Jersey City supports reparations study (2022)"". Reparations History, https://reparationshistory.org.",P79tf39NQ6HGUVcnEkRxxS
USA-2021-05,2021,2020–2025,Louisville supports federal reparations study,"The city council of Louisville, Kentucky, passed a resolution to express support of the U.S. House of Representatives' Bill 40 (Commission to Study and Develop Reparation Proposals for African Americans Act), which would provide for the creation of a federal commission to study slavery reparations.",Louisville,Kentucky,United States,City of Louisville,"Government, municipal/county",African Americans,Community,Other,,,Slavery,Proposed,City/county ordinance,African Americans; commission/study; federal government; legislation; local government; resolution; slavery,"Grady, D. (2021, September 24). Louisville Council votes to support federal reparations study. LEO Weekly.",https://www.leoweekly.com/2021/09/louisville-council-votes-to-support-federal-reparations-study-for-descendants-of-african-slaves/,,,,,"""Louisville supports federal reparations study (2021)"". Reparations History, https://reparationshistory.org.",FMJMXM5BuAuEDnnUgqyp3X
USA-2023-01,2023,2020–2025,Bruce family land returned,"In 1924, land owned by the Bruce family in Manhattan Beach, California, was seized via eminent domain by the city, who wanted to build a park there. The Bruce family had already faced harassment from white residents, and the Ku Klux Klan had attempted to burn down the resort that sat on the property. In July 2022 the land was returned to the family's descendants, who then sold it back to Los Angeles County for $20 million.",Manhattan Beach,California,United States,City of Manhattan Beach,"Government, municipal/county",Bruce family,Individuals,Land (return),"$20,000,000.00",,"Racial violence, Land seizure",Completed,State legislation,African Americans; displaced communities; land return; land seizure; local government; monetary compensation,"Ardrey, T. (2023, January 4). A Black California family is selling the land stolen from their ancestors back to LA County for $20 million. Insider.",https://www.insider.com/black-family-bruces-beach-sold-la-county-20-million-2023-1,,,USA-2024-03; USA-2025-10,,"""Bruce family land returned (2023)"". Reparations History, https://reparationshistory.org.",EMfvrPgYQBGJsrW8TpuauF
USA-2021-10,2021,2020–2025,Northampton studies local reparations,"The Northampton (MA) Reparations Committee (NRC) began meeting in March 2021. In the fall of 2022, the NRC began circulating a reparations petition asking the Northampton City Council to (1) Investigate the historical and current effects of enslavement and racism against Black people in Northampton; and (2) Make recommendations for reparative actions in Northampton as a response to issues apparent in housing, employment, policing, schools, healthcare, and transportation. The NRC also called upon the City Council to make a formal apology to the past and present residents of Northampton for the historic harm that has occurred and the current harm and to fund the Commission's research and publish its findings. In February 2023, a resolution to take action will be presented to the City Council.",Northampton,Massachusetts,United States,City of Northampton,"Government, municipal/county",African Americans,Community,Other,,,"Economic discrimination, Educational discrimination, Housing discrimination, Other",In Progress,City/county ordinance,African Americans; apology; commission/study; economic development; educational institution; housing program; legislation; local government; monetary compensation; resolution; slavery,"About us. (n.d.). Northampton Reparations. Retrieved January 6, 2026.",https://web.archive.org/web/20230331134025/https://northamptonreparations.com/,,,USA-2024-07,,"""Northampton studies local reparations (2021)"". Reparations History, https://reparationshistory.org.",5TxhXFUFT2Wfaev1z7s4ik
USA-2024-07,2024,2020–2025,Northampton recommends reparations actions,The Northampton Commission for the Study of Reparations (Massachusetts) released a preliminary report recommending a number of actions to address the historic wrongs towards Black residents of the town caused by slavery and its aftermath.,Northampton,Massachusetts,United States,City of Northampton,"Government, municipal/county",African Americans,Community,Other,,,"Jim Crow / segregation, Slavery",In Progress,City/county ordinance,African Americans; commission/study; legislation; slavery,"MacDougall, A. (2024, December 13). Early report from reparations panel finds Blacks endured historic wrongs in Northampton. Daily Hampshire Gazette.",https://gazettenet.com/2024/12/13/preliminary-report-of-reparations-commission-58434796/,,,USA-2021-10,,"""Northampton recommends reparations actions (2024)"". Reparations History, https://reparationshistory.org.",PxabDgxuxcYPAuGsA6GE5h
USA-2024-03,2024,2020–2025,Palm Springs pays Section 14 reparations,"The city council of Palm Springs, California, approved a $5.9 million settlement for survivors and descendants of Section 14, an historically Black and Latino neighborhood that had been destroyed 60 years ago for commercial development. The agreement compensates around 1,200 individuals, establishes a cultural healing center and a public monument, and allocates $21 million for housing and economic programs prioritizing former residents.",Palm Springs,California,United States,City of Palm Springs,"Government, municipal/county",African Americans; Latin Americans,"Community, Descendants","Apology, Memorial, Infrastructure, Services",,,Land seizure,In Progress,Court settlement,African Americans; Latino communities; commission/study; displaced communities; housing program; land seizure; legal settlement; local government; memorial; monetary compensation,"Bolaños, M. (2024, November 15). Palm Springs OKs $5.9 million in reparations for Black and Latino families whose homes the city burned. KQED.",https://www.kqed.org/news/12014575/palm-springs-oks-5-9-million-in-reparations-for-black-and-latino-families-whose-homes-the-city-burned,,,USA-2023-01; USA-2025-10,,"""Palm Springs pays Section 14 reparations (2024)"". Reparations History, https://reparationshistory.org.",TSLvckcCxeG6WeBrepPoPz
USA-2025-04,2025,2020–2025,Portland settlement for demolishing neighborhood,"In December 2022, 26 survivors and descendants of Black families displaced from Portland, Oregon's Albina neighborhood sued the city, development agencies, and a hospital for demolishing over 180 properties, many owned by Black residents. In 2025, Portland agreed to a settlement of $8.5 million (up from an initial $2 million), plus property restitution, a historic exhibit, a documentary, and other reparative actions.",Portland,Oregon,United States,City of Portland,"Government, municipal/county",African Americans,Descendants,"Direct payment, Memorial, Other, Land (return)",,,Land seizure,In Progress,Court settlement,African Americans; court case; displaced communities; land return; land seizure; legal settlement; legislation; memorial; monetary compensation,"Dhenin, M. (2025, August 15). 'We opened a door nobody knew existed': How displaced Black families won reparations in Portland. Tahlequah Daily Press. ",https://www.tahlequahdailypress.com/news/we-opened-a-door-nobody-knew-existed-how-displaced-black-families-won-reparations-in-portland/collection_a87e6f41-c496-526c-b0e4-c6796ad9e42a.html,,,,,"""Portland settlement for demolishing neighborhood (2025)"". Reparations History, https://reparationshistory.org.",DnbLpr2DsmkBj5zb8yfhTR
USA-2022-04,2022,2020–2025,Providence funds municipal reparations program,"Providence, Rhode Island mayor Jorge Elorza signed a $10 million budget for the Providence Municipal Reparations program, with funds coming from the American Rescue Plan. Black and Native American residents qualify automatically, and White residents may also apply as the funding decisions must be race-neutral.",Providence,Rhode Island,United States,City of Providence,"Government, municipal/county",African Americans; Native Americans; Americans,Individuals,Other fund,"$10,000,000.00",,Other,In Progress,State legislation,Native Americans; land return; local government; monetary compensation,"Felton, E. (2022, November 30). Providence offers reparations to address racism. White people can apply. Washington Post.",https://web.archive.org/web/20221222131444/https://www.washingtonpost.com/nation/2022/11/29/reparations-program-providence-rhode-island/,,,,,"""Providence funds municipal reparations program (2022)"". Reparations History, https://reparationshistory.org.",CDNC9G1gortoUQo2cYJ9NG
USA-2024-04,2024,2020–2025,Sacramento expands reparations initiatives,"The city council of Sacramento, California, passed two resolutions related to reparations in the city. The first resolution was to incorporate racial equity into the city's operations, and the second was to expand the reparations initiatives out of the mayor's office into a city-wide program.",Sacramento,California,United States,City of Sacramento,"Government, municipal/county",African Americans,Community,"Policy change, Services",,,Other,In Progress,City/county ordinance,African Americans; commission/study; legislation; local government; resolution,"Sanchez, S. T. (2024, December 4). Sacramento City Council approves historic resolutions to advance racial equity and reparations. ABC10.",https://www.abc10.com/article/news/local/sacramento-city-council-resolutions-systemic-racism/103-d6890c05-3b49-4f37-9d47-6364a5570250,,,,,"""Sacramento expands reparations initiatives (2024)"". Reparations History, https://reparationshistory.org.",CAFLNCjdYYAHfFm68pMCyJ
USA-2024-08,2024,2020–2025,San Diego backs state reparations,"The San Diego City Council unanimously voted to support California's statewide reparations package, although they also recommend adding financial compensation.",San Diego,California,United States,City of San Diego,"Government, municipal/county",African Americans,Community,Other,,,Other,Proposed,City/county ordinance,commission/study; local government; monetary compensation; state government,"Wu, J. (2024, August 5). 'This thing doesn’t happen overnight': San Diegans push for reparations for Black Californians. San Diego Union-Tribune.",https://www.sandiegouniontribune.com/2024/08/05/this-thing-doesnt-happen-overnight-san-diegans-push-for-reparations-for-black-californians/,,,,,"""San Diego backs state reparations (2024)"". Reparations History, https://reparationshistory.org.",BAKzVVZB3Mzvou2sPJQacc
USA-2023-02,2023,2020–2025,San Francisco proposes $5 million reparations,"San Francisco, California's government-appointed African American Reparations Advisory Committee recommended that the city's Black residents be paid $5 million each in reparations for historical public policies that reflected the intent of chattel slavery. The committee chair stated that the program ""could represent a significant enough investment in families to put them on this path to economic well-being, growth and vitality that chattel slavery and all the policies that flowed from it destroyed.""",San Francisco,California,United States,City of San Francisco,"Government, municipal/county",African Americans,Individuals,Other,"$5,000,000.00",,Slavery,Proposed,City/county ordinance,African Americans; economic development; land seizure; monetary compensation; slavery,"Felton, E. (2023, February 28). San Francisco debates reparations : $5 million each for Black residents? Washington Post.",https://web.archive.org/web/20230227133523/https://www.washingtonpost.com/nation/2023/02/27/san-francisco-reparations-black-5-million/,,,USA-2025-12,,"""San Francisco proposes $5 million reparations (2023)"". Reparations History, https://reparationshistory.org.",KaVVmwiDMvVbHMAQLpRKSE
USA-2025-13,2025,2020–2025,San Francisco reparations ordinance signed,"At the end of 2025, San Francisco mayor Daniel Lurie signs into law an ordinance that establishes a reparations fund to address and repair harms to the city's black community. The fund will accept donations from individuals, corporations, and foundations, and possibly future budget appropriations.",San Francisco,California,United States,City of San Francisco,"Government, municipal/county",African Americans,Community,Other fund,,,Other,In Progress,City/county ordinance,African Americans; corporation; legislation; local government; monetary compensation; private initiative,"Epps, K. (2025, December 31). $5 million reparations fund: From slavery's shadows, SF mayor signs historic measure for Black San Franciscans. San Francisco Bay View.", https://sfbayview.com/2025/12/5-million-reparations-fund-from-slaverys-shadows-sf-mayor-signs-historic-measure-for-black-san-franciscans/,,,USA-2023-02,,"""San Francisco reparations ordinance signed (2025)"". Reparations History, https://reparationshistory.org.",GHheNi9bg6GuZPSYek8UBY
USA-2025-10,2025,2020–2025,Santa Monica settles Silas White claim,"The city of Santa Monica, California, approved a $350,000 settlement with the family of Silas White, whose Ebony Beach Club project was impeded when the city seized the property through eminent domain in the 1950s. The agreement includes commemorations (a library exhibit, a street renaming, and Silas White Day) and ensures the family will be eligible in any future reparations process. The city also plans to propose a broader reparations program by 2026.",Santa Monica,California,United States,City of Santa Monica,"Government, municipal/county",Silas White,Individuals,"Direct payment, Memorial, Policy change",,,Land seizure,In Progress,Court settlement,African Americans; displaced communities; land seizure; legal settlement; local government; memorial; monetary compensation,"Hall, M. (2025, November 20). City settles Ebony Beach Club case for $350,000. Santa Monica Daily Press.", https://smdp.com/featured/city-settles-ebony-beach-club-case-for-dollar350000/,,,USA-2023-01; USA-2024-03,,"""Santa Monica settles Silas White claim (2025)"". Reparations History, https://reparationshistory.org.",KDbSWnmLAyQ6rrGRddYoVb
USA-2024-09,2024,2020–2025,St. Louis proposes reparations plan,The St. Louis (Missouri) Reparations Commission released a report recommending the city take actions to address historical and current racial injustices towards the city's African American community. Suggestions include cash payments as well as official acknowledgment and apology for racially motivated harms.,St. Louis,Missouri,United States,City of St. Louis,"Government, municipal/county",African Americans,Community,Other,,,Other,In Progress,City/county ordinance,African Americans; apology; commission/study; institutional discrimination; legislation; monetary compensation,"Hayes, G. (2024, December 4). In St. Louis, a new reparations report details how the city can act on racial injustice. PBS News.",https://www.pbs.org/newshour/nation/in-st-louis-a-new-reparations-report-details-how-the-city-can-act-on-racial-injustice,,,,,"""St. Louis proposes reparations plan (2024)"". Reparations History, https://reparationshistory.org.",Hu9ZyAoWL8zxwyGksDAZgB
USA-2023-04,2023,2020–2025,St. Paul studies reparations,"The City of St. Paul, Minnesota, created the St. Paul Recovery Act Community Reparations Commission to research possibilities for reparations to descendants of enslaved Africans.",St. Paul,Minnesota,United States,City of St. Paul,"Government, municipal/county",African Americans,Descendants,Other,,,Slavery,In Progress,City/county ordinance,African Americans; commission/study; legislation; local government; slavery,"McGee, N. A. (2023, January 5). Minnesota city creates committee to give reparations to descendants of enslaved Africans. The Root.",https://www.theroot.com/minnesota-city-creates-committee-to-give-reparations-to-1849955784,,,,,"""St. Paul studies reparations (2023)"". Reparations History, https://reparationshistory.org.",FoGVCgvVYKXCGdgnmHGDwo
USA-2021-03,2021,2020–2025,St. Petersburg approves reparations program,"St. Petersburg, Florida, city council approved the creation of a reparations program and the implementation of an equity officer in response to a study that identified structural racism in the state. The program will establish affordable housing, educational opportunities, and other means of economic development that would contribute to an equal environment for Black residents.",St. Petersburg,Florida,United States,City of St. Petersburg,"Government, municipal/county",African Americans,Community,Infrastructure,,,"Economic discrimination, Housing discrimination, Jim Crow / segregation",In Progress,City/county ordinance,African Americans; commission/study; economic development; education/scholarship; housing program; institutional discrimination; local government,"Wright, C. (2021, December 10). St. Petersburg City Council approves 'reparations' to address structural racism. Tampa Bay Times.",https://www.tampabay.com/news/st-petersburg/2021/12/10/st-petersburg-city-council-accepts-structural-racism-study-to-right-wrongs/,,,,,"""St. Petersburg approves reparations program (2021)"". Reparations History, https://reparationshistory.org.",4gXebRX7jD6W3mpnNysRss
USA-2024-01,2024,2020–2025,Tulsa studies race massacre reparations,"After the Oklahoma Supreme Court rejected a lawsuit for reparations from survivors of the 1921 Tulsa Race Massacre, where a white mob killed 300 Black residents and destroyed the Greenwood District, city officials have created a commission to consider this option. The commission will focus on initiatives like housing equity, educational opportunities, and economic development for survivors and their descendants.",Tulsa,Oklahoma,United States,City of Tulsa,"Government, municipal/county",African Americans,"Community, Descendants",Other,,,Racial violence,In Progress,City/county ordinance,African Americans; commission/study; court case; economic development; education/scholarship; housing program; land seizure; legislation; massacre/violence,"Associated Press. (2024, August 5). Tulsa commission will study reparations for 1921 race massacre victims and descendants. NBC News.",https://www.nbcnews.com/news/nbcblk/tulsa-commission-will-study-reparations-1921-race-massacre-victims-des-rcna165148,,,USA-2001-01; USA-2025-06,,"""Tulsa studies race massacre reparations (2024)"". Reparations History, https://reparationshistory.org.",8Pu7ftDV6c4MPJixzpujUz
